timestamp	ibi	hf-hrv	posterior_alpha	frontal_alpha	frontal_theta	beta	gamma	state
0	-0.04683999137033436	1.493243853967006	-0.6838663546938532	-0.6809562962313719	0.33238051316325146	-0.7508153496418698	-0.6427990526748578	0
1	-0.04683999137033436	1.4578082794622604	-0.6780226769932199	-0.7442194949566804	0.6913987355508268	-0.801492018303723	-0.7219362380494356	0
2	1.2598906091496924	1.3549401613909668	-0.6526309112646123	-0.7484151701038005	0.23768431305861495	-0.6380838256751602	-0.6902568362339062	0
3	1.1907960218542017	1.195281961331409	-0.6817121916224091	-0.7300014909931988	-0.40861709942751523	-0.6197291554875556	-0.6620844202814927	0
4	0.5452668043615516	0.9959018371956109	-0.709471755385662	-0.7165884199742331	-0.22798275877176621	-0.7647908636110488	-0.7323211059314444	0
5	1.0523271651456456	0.7793564929907385	-0.7405014734642652	-0.7844620603903111	-0.17822926623935056	-0.958131514344336	-0.7507843742855349	0
6	1.4673716185168098	0.5725324590310016	-0.7774080123635743	-0.8426170743604895	-0.033838454114347244	-0.9523843573936289	-0.639834679931194	0
7	1.2139306922543929	0.41028307902672123	-0.5548631562548877	-0.648944939426018	-0.21514559948106304	0.04859552862831004	-0.34719291055340257	0
8	0.798960192304922	0.31721765648272826	-0.3273918257812719	-0.44160540395071285	-0.21892040989731398	0.4360612443102548	-0.14699351893386498	0
9	1.2136629298655008	0.2675520870855045	-0.48120699589683597	-0.5460309795886901	-0.26949905183711065	-0.20209662657236496	-0.4158462782731342	0
10	1.3290799950085197	0.21876514926262433	-0.6348625354680723	-0.7456111640495499	-0.16379805400259903	-0.3951346417055504	-0.7301245614554461	0
11	0.40732072184083296	0.15261482411756447	-0.5883992762162327	-0.7219021115752232	0.22209324127685162	-0.3499659168398814	-0.6176834657057356	0
12	0.7524728164164444	0.06279226617207416	-0.5092352005334957	-0.5831689022275699	-0.06667676448346367	-0.38538974361207967	-0.5592457565133498	0
13	1.4670120518802992	-0.04772993431473837	-0.4155471055225259	-0.42681444604519386	-0.23124879272410478	-0.5118041805833584	-0.572065417759049	0
14	1.0527377341419457	-0.1668440946635841	-0.49946843098325305	-0.4850923355974291	0.05531690864386562	-0.6828493388353115	-0.5464385955405757	0
15	1.1676409505100933	-0.2677771626289088	-0.47857200729001037	-0.18162010162289113	0.4431213781622656	-0.5918066885011584	-0.5715419561024488	0
16	1.5824329422003014	-0.3201152708570359	-0.43571432603021915	-0.1480437832369449	0.40216693249591456	-0.5329162664068977	-0.6440041788165228	0
17	1.60581497404547	-0.32908462073428024	-0.5819490527819805	-0.5780654635246607	-0.1735364308860888	-0.7008989393835962	-0.6712616901219184	0
18	1.3524339755558041	-0.3223092570885295	-0.4146952044285486	-0.46014091877736174	-0.21463523519479483	-0.6066433187834852	-0.6574715476992358	0
19	1.835935071294465	-0.3163819843658666	-0.29925192614686574	-0.3008231167958962	-0.030796522854633555	-0.20620442559777277	-0.6551935381742999	0
20	2.0897903917301655	-0.3218112887870462	-0.45543310774318885	-0.5245810845477923	-0.22574348911690495	0.112071503135798	0.20253445036461726	0
21	1.4451422400028682	-0.3452284825748289	-0.5564419498012987	-0.7377256915817105	-0.20196060467252513	-0.20452317210706158	0.2531949954037716	0
22	1.6747421131820153	-0.39009161726296343	-0.6356017302144857	-0.7089671963368869	-0.1725416056124573	-0.6561383265418735	-0.5621422360935716	0
23	2.066521840135528	-0.4576493719295587	-0.6280877412208851	-0.599514248960185	-0.1771810814185647	-0.7667529070169755	-0.6521932865977753	0
24	1.307046975579766	-0.5458558515881007	-0.4921098559254793	-0.3937555321467426	-0.1638325590942055	-0.9144204192162098	-0.7291467290419872	0
25	1.4902997293598557	-0.6461814905528651	-0.407919785816943	-0.263499396255367	-0.09590566836220747	-0.6174965502770312	-0.7444469079233633	0
26	1.8129126060858098	-0.7412111068985724	-0.42360395481699636	-0.46024856306781103	-0.2010651491818676	0.08194520310063161	-0.4192461923385008	0
27	1.3989086008543365	-0.8028493303680314	-0.4761416445544391	-0.5649502095278292	-0.2906337279192565	-0.11207281960110237	-0.27227658108818215	0
28	1.4443593537801094	-0.7862256947138541	-0.44256129807675487	-0.23699925365881205	-0.17014256995059027	-0.7344263601083546	-0.5208107200966369	0
29	1.6746528590523873	-0.6790690071686617	-0.3582184369787058	-0.23470966982003888	-0.4349541428514055	-0.8035398390930932	-0.5143805195815534	0
30	1.5368827346729406	-0.5192031164511822	-0.08866837751037523	-0.012702752382065129	-0.5159750842196278	-0.42056679577114886	-0.5825804934124095	2
31	1.0992824876851868	-0.3416307502691007	-0.2700430171707948	-0.042751749901572496	-0.32080733211646356	-0.4192783126879368	-0.7105948384718462	2
32	1.2827048243115728	-0.16904991411309092	-0.7102431205021731	-0.5718482194211054	-0.514657443869412	-0.858256637198987	-0.6833447814922589	0
33	1.6052641485597499	-0.01927849984899166	-0.5769676434817744	-0.5607306690389543	-0.5069834812889418	-0.924578239146353	-0.6989884316693407	0
34	1.0764653069746815	0.09378753028004565	-0.5700365816783864	-0.6488832464480302	-0.07928597551674176	-0.9225167404024467	-0.7486108711480078	0
35	1.4667493897273858	0.1604625742774872	-0.5860579553518364	-0.6252286229269771	-0.008427800965509095	-0.9024503694990278	-0.7772675863599565	0
36	1.9507707095358946	0.17583005929471066	-0.44703661819868695	-0.4924755207187155	-0.237847567423981	-0.9299834453454497	-0.7530766910195641	0
37	0.9161559647455764	0.140213970497708	-0.46727613245855487	-0.5005811454315123	-0.2242155299387529	-0.9329669228111993	-0.6946178567099982	0
